Measurement Date,Water Temperature,Turbidity,Wave Height,Wave Period,Battery Life,Measurement Day,Measurement Month,Measurement Year,Measurement Hour,Latitude,Longitude,class
2018-07-22,18.568181818181817,5.417272727272728,0.31018181818181817,5.136363636363637,10.463636363636363,22.0,7.0,2018.0,12.409090909090908,41.894328,-87.613083,1
2018-07-23,19.579166666666666,4.17125,0.27395833333333336,4.875,10.383333333333335,23.0,7.0,2018.0,11.5,41.894328,-87.613083,0
2018-07-24,21.379166666666666,2.32625,0.204,4.541666666666667,10.316666666666668,24.0,7.0,2018.0,11.5,41.894328,-87.613083,0
2018-07-25,22.15833333333333,1.7908333333333333,0.18137499999999998,3.5416666666666665,10.25,25.0,7.0,2018.0,11.5,41.894328,-87.613083,0
2018-07-26,22.545833333333334,1.5045833333333334,0.15266666666666667,4.166666666666667,10.145833333333334,26.0,7.0,2018.0,11.5,41.894328,-87.613083,0
2018-07-27,22.245833333333334,1.4891666666666667,0.21704166666666666,3.625,10.9125,27.0,7.0,2018.0,11.5,41.894328,-87.613083,0
2018-07-28,22.233333333333334,1.3279166666666666,0.1875416666666667,4.208333333333333,12.604166666666666,28.0,7.0,2018.0,11.5,41.894328,-87.613083,0
2018-07-29,22.53684210526316,1.5110526315789474,0.15047368421052632,3.6842105263157894,12.226315789473684,29.0,7.0,2018.0,12.473684210526315,41.894328,-87.613083,0
2018-07-30,23.069565217391304,1.7595652173913043,0.12543478260869564,3.739130434782609,12.021739130434783,30.0,7.0,2018.0,11.608695652173912,41.894328,-87.613083,0
2018-07-31,23.40952380952381,1.6276190476190475,0.18533333333333332,3.4285714285714284,11.880952380952381,31.0,7.0,2018.0,11.238095238095237,41.894328,-87.613083,0
2018-08-06,16.945833333333333,1.8991666666666667,0.23587499999999997,3.875,11.637500000000001,8.0,6.0,2018.0,11.5,41.894328,-87.613083,0
2018-08-07,20.13181818181818,2.187272727272727,0.16986363636363636,3.1363636363636362,11.409090909090908,8.0,7.0,2018.0,12.409090909090908,41.894328,-87.613083,0
2018-08-08,24.095454545454547,1.64,0.2055,4.181818181818182,11.218181818181817,8.0,8.0,2018.0,11.590909090909092,41.894328,-87.613083,0
2018-08-13,25.4875,0.8429166666666666,0.1475,3.125,10.904166666666667,13.0,8.0,2018.0,11.5,41.894328,-87.613083,0
2018-08-14,25.308333333333334,0.9491666666666667,0.11458333333333333,3.7916666666666665,10.883333333333333,14.0,8.0,2018.0,11.5,41.894328,-87.613083,0
2018-08-15,25.25,1.1666666666666667,0.11712499999999999,3.5416666666666665,10.833333333333334,15.0,8.0,2018.0,11.5,41.894328,-87.613083,0
2018-08-16,25.604166666666668,1.1741666666666666,0.14020833333333332,3.2083333333333335,10.775,16.0,8.0,2018.0,11.5,41.894328,-87.613083,0
2018-08-17,25.430434782608696,1.0508695652173914,0.1538695652173913,3.347826086956522,10.673913043478262,17.0,8.0,2018.0,11.91304347826087,41.894328,-87.613083,0
2018-08-18,25.313043478260873,1.6960869565217391,0.24778260869565216,4.260869565217392,10.617391304347825,18.0,8.0,2018.0,11.173913043478262,41.894328,-87.613083,0
2018-08-19,25.466666666666665,2.199047619047619,0.2170952380952381,4.190476190476191,10.557142857142857,19.0,8.0,2018.0,12.857142857142858,41.894328,-87.613083,0
2018-08-20,24.8,1.3543478260869564,0.2008695652173913,3.9565217391304346,10.478260869565217,20.0,8.0,2018.0,11.304347826086957,41.894328,-87.613083,0
2018-08-21,23.895652173913046,3.755652173913043,0.25421739130434784,4.739130434782608,10.360869565217392,21.0,8.0,2018.0,11.347826086956522,41.894328,-87.613083,0
2018-08-22,22.52916666666667,6.6187499999999995,0.300375,6.666666666666667,10.220833333333333,22.0,8.0,2018.0,11.5,41.894328,-87.613083,1
2018-08-23,22.87826086956522,4.518260869565218,0.15956521739130433,4.304347826086956,10.117391304347825,23.0,8.0,2018.0,11.869565217391305,41.894328,-87.613083,0
2018-08-24,21.90416666666667,3.1329166666666666,0.161625,3.1666666666666665,10.0,24.0,8.0,2018.0,11.5,41.894328,-87.613083,0
2018-08-25,21.670833333333334,2.5791666666666666,0.167875,3.375,9.816666666666668,25.0,8.0,2018.0,11.5,41.894328,-87.613083,0
2018-08-26,22.576190476190476,2.3776190476190475,0.14276190476190478,3.2857142857142856,9.623809523809523,26.0,8.0,2018.0,12.857142857142858,41.894328,-87.613083,0
2018-08-27,22.400000000000002,2.3154545454545454,0.11854545454545455,3.272727272727273,9.472727272727273,27.0,8.0,2018.0,5.0,41.894328,-87.613083,0
2018-09-06,16.941666666666666,1.52125,0.18733333333333332,3.9166666666666665,11.5375,9.0,6.0,2018.0,11.5,41.894328,-87.613083,0
2018-09-07,21.316666666666666,1.32375,0.10316666666666667,4.458333333333333,11.387500000000001,9.0,7.0,2018.0,11.5,41.894328,-87.613083,0
2018-09-08,24.537499999999998,0.8016666666666667,0.13008333333333333,3.6666666666666665,11.158333333333333,9.0,8.0,2018.0,11.5,41.894328,-87.613083,0
2018-10-06,16.761904761904763,1.1814285714285713,0.18685714285714286,3.4761904761904763,11.457142857142857,10.0,6.0,2018.0,12.523809523809524,41.894328,-87.613083,0
2018-10-07,22.09583333333333,0.9866666666666667,0.16425,4.375,11.320833333333333,10.0,7.0,2018.0,11.5,41.894328,-87.613083,0
2018-10-08,24.413636363636364,0.9709090909090908,0.18540909090909088,3.6818181818181817,11.086363636363636,10.0,8.0,2018.0,10.954545454545455,41.894328,-87.613083,0
2018-11-06,16.47826086956522,1.1178260869565217,0.20526086956521739,3.9565217391304346,11.373913043478263,11.0,6.0,2018.0,11.26086956521739,41.894328,-87.613083,0
